message,label,category
"Final notice: pay Rs 88,000 immediately or legal action will be taken against you under IT Act",scam,phishing
"Your loan of Rs 5,00,000 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
"Your Amazon order has been delivered, rate your experience in the app",safe,general
"Domino's: Your order is out for delivery, ETA 20 mins",safe,general
"Instant loan approved! Rs 50,000 in your account within 10 minutes. No documents needed. Click to claim",scam,loan
"Hi, this is to confirm your OTP is 552134 for login. Never share this with anyone",safe,otp
"Dear Divya, your number has been selected for a cash prize of Rs 5,00,000. Call now to claim",scam,lottery
"Meeting rescheduled to 3pm tomorrow, conference room B. Please confirm attendance",safe,general
Your Aadhaar linked to ICICI will be deactivated in immediately. Update now to avoid deactivation,scam,phishing
"RBI has approved your loan waiver of Rs 2 lakhs, share your account number to process",scam,loan
"Alert: new device login detected on your account. If this wasn't you, please reset your password",safe,awareness
Your Bank of Baroda statement for this month is now available on net banking,safe,general
"You've won a free Netflix gift card worth Rs 45,000! Click the link before it expires",scam,lottery
"Invest Rs 99,999 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
"Reminder: your Canara Bank EMI of Rs 88,000 is due on the 5th of this month",safe,general
Work from home job offer! Earn Rs 5000 daily by just liking Youtube videos. Register now with Rs 500 fee,scam,job
URGENT: Your ICICI debit card has been suspended. Verify your details now to reactivate,scam,phishing
"Your Myntra order has been delivered, rate your experience in the app",safe,general
Your order from Ola has been shipped and will arrive by Thursday,safe,general
"Dear customer, your BHIM UPI account shows suspicious activity. Verify immediately or lose access",scam,phishing
"Dear Priya, your number has been selected for a cash prize of Rs 2,25,000. Call now to claim",scam,lottery
Free recharge of Rs 500 for first 100 users. Click link and enter your mobile number and OTP,scam,otp
"Zomato is hiring part-time data entry staff, salary Rs 2,25,000/month, pay Rs 1500 for training kit",scam,job
"Your salary of Rs 45,000 has been credited to your HDFC account ending 4521",safe,general
"Work from home opportunity! Earn Rs 10,00,000 weekly, just pay Rs 999 registration fee to start",scam,job
WIN an iPhone 15 for just Rs 99! Limited stock. Click now before offer ends,scam,lottery
"You have received Rs 25,000 via Paytm. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
"You've won a free Flipkart gift card worth Rs 2,25,000! Click the link before it expires",scam,lottery
"Last chance! Claim your free gold coin worth Rs 5000, just pay Rs 99 shipping fee",scam,lottery
"Reminder: Doctor appointment tomorrow at 11am, please arrive 15 minutes early",safe,general
"Your Canara Bank locker rent of Rs 5,000 is due, please pay at the nearest branch",safe,general
"Your water bill payment of Rs 320 is due on 25th, pay via official municipal app",safe,general
"Congratulations Ramesh, you are selected for a job at PhonePe. Pay Rs 2000 verification fee to confirm",scam,job
"Dear customer, thank you for shopping with us, your invoice is attached for your records",safe,general
"Instant personal loan of Rs 88,000 approved! No documents needed, click to receive in your account",scam,loan
"Your mutual fund SIP of Rs 5,000 has been debited successfully this month",safe,investment
"Reminder: your Axis Bank EMI of Rs 12,500 is due on the 5th of this month",safe,general
Your Swiggy order has been delivered. Rate your experience in the app,safe,general
"Congratulations! You have won Rs 12,500 in Zomato lucky draw. Click here to claim now",scam,lottery
"HR Team: your offer letter has been emailed to you, please review and sign it",safe,job
"Congratulations Arjun, you are selected for a job at Swiggy. Pay Rs 2000 verification fee to confirm",scam,job
Your electricity connection will be disconnected in 3 hours due to unpaid bill. Pay now via link to avoid,scam,phishing
"Your Zomato subscription renews on the 1st, no action needed",safe,general
Your Aadhaar linked to SBI will be deactivated in 1 hour. Update now to avoid deactivation,scam,phishing
"Dear customer, your GPay account shows suspicious activity. Verify immediately or lose access",scam,phishing
Your parcel from Google is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
"You've won a free Ola gift card worth Rs 88,000! Click the link before it expires",scam,lottery
"Congratulations! You have won Rs 99,999 in Amazon lucky draw. Click here to claim now",scam,lottery
"Meeting rescheduled to 3pm tomorrow in conference room B, please confirm attendance",safe,general
Paytm customer support: share your OTP to verify your order and avoid cancellation,scam,otp
"Thanks for the update, I'll get back to you by end of day",safe,general
URGENT: Your HDFC debit card has been suspended. Verify your details now to reactivate,scam,phishing
"Your salary of Rs 1,50,000 has been credited to your Axis Bank account ending 4521",safe,general
"Join our trading group and earn Rs 25,000 daily with guaranteed profit, no risk involved",scam,investment
"Your salary of Rs 99,999 has been credited to your ICICI account ending 4521",safe,general
"You have received Rs 45,000 via GPay. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
"Join our trading group and earn Rs 12,500 daily with guaranteed profit, no risk involved",scam,investment
Your loan application has been approved. Pay processing fee of Rs 2999 to release amount,scam,loan
"Invest Rs 10000 today and get Rs 50000 in one month guaranteed returns, no risk",scam,investment
"Your Paytm KYC is expiring today, update now to avoid account suspension. Click link immediately",scam,phishing
"Your water bill payment of Rs 88,000 was successful, thank you",safe,general
"Your PhonePe payment of Rs 88,000 failed. Click here to retry and receive instant cashback",scam,upi_fraud
"Your loan of Rs 5,000 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
"Dear Karthik, your number has been selected for a cash prize of Rs 99,999. Call now to claim",scam,lottery
"This is your bank calling, we detected suspicious activity, please share your card number and CVV to verify",scam,phishing
"You have an unclaimed insurance policy amount of Rs 3,50,000 in your name, click to claim before it expires",scam,phishing
"Final notice: pay Rs 5,000 immediately or legal action will be taken against you under IT Act",scam,phishing
"Get rich quick: Join our WhatsApp group and earn Rs 3000 daily doing simple tasks, limited slots",scam,investment
"Your OTP is required to process your Rs 25,000 cashback. Reply with the OTP you received",scam,otp
"You've won a free PhonePe gift card worth Rs 25,000! Click the link before it expires",scam,lottery
